Hour of Day,Users,Sessions,Total Events
2016012908,125,119,7056
2016012909,156,146,8254
2016012910,177,162,8348
2016012911,164,157,8327
2016012912,135,123,8410
2016012913,170,164,7045
2016012914,140,133,7196
2016012915,116,110,6921
2016012916,178,168,10098
2016012917,166,145,10356
2016012918,102,93,4908
2016012919,78,74,3357
2016012920,62,56,2394
2016012921,55,50,2544
2016012922,61,56,2235
2016012923,55,54,3121
2016013000,27,27,1051
2016013001,18,19,1152
2016013002,16,13,727
2016013003,12,12,356
2016013004,19,18,710
2016013005,33,33,1997
2016013006,57,50,2246
2016013007,100,97,4498
2016013008,197,188,12123
2016013009,225,212,14075
2016013010,158,150,7884
2016013011,145,132,6745
2016013012,108,104,5956
2016013013,83,78,4572
2016013014,74,71,4592
2016013015,78,69,5599
2016013016,101,94,4411
2016013017,97,94,5604
2016013018,77,72,4564
2016013019,46,41,1560
2016013020,33,34,1249
2016013021,40,37,2138
2016013022,29,28,773
2016013023,24,23,775
2016013100,18,19,1120
2016013101,16,12,999
2016013102,12,12,292
2016013103,16,16,907
2016013104,18,16,759
2016013105,29,28,1472
2016013106,60,58,3184
2016013107,113,107,5178
2016013108,217,208,15932
2016013109,274,261,17479
2016013110,314,281,20132
2016013111,229,206,16964
2016013112,211,195,11552
2016013113,194,180,11587
2016013114,214,197,12818
2016013115,224,207,16316
2016013116,304,279,21359
2016013117,328,297,21267
2016013118,314,283,21486
2016013119,212,185,8415
2016013120,152,138,7708
2016013121,132,121,6483
2016013122,114,112,5810
2016013123,71,65,2481
2016020100,26,26,1036
2016020101,23,22,1092
2016020102,9,9,437
2016020103,19,18,789
2016020104,17,16,510
2016020105,34,34,1873
2016020106,69,69,2918
2016020107,149,136,8053
2016020108,273,257,16897
2016020109,244,223,14590
2016020110,223,203,13867
2016020111,166,147,9959
2016020112,130,122,8717
2016020113,122,112,7858
2016020114,108,99,6419
2016020115,94,85,6291
2016020116,114,107,5805
2016020117,90,83,5363
2016020118,66,55,4250
2016020119,38,38,876
2016020120,40,39,1360
2016020121,33,32,1365
2016020122,33,29,1338
2016020123,22,21,690
2016020200,7,7,710
2016020201,7,7,882
2016020202,2,2,331
2016020203,5,4,211
2016020204,9,9,247
2016020205,28,27,1114
2016020206,51,51,1991
2016020207,121,113,6578
2016020208,201,186,14425
2016020209,240,222,16573
2016020210,200,194,11624
2016020211,175,168,9231
2016020212,141,127,6567
2016020213,104,91,4925
2016020214,112,110,5501
2016020215,122,111,7471
2016020216,107,100,5314
2016020217,80,72,2912
2016020218,55,50,3673
2016020219,32,32,1212
2016020220,27,26,947
2016020221,26,24,652
2016020222,17,15,832
2016020223,12,10,354
2016020300,7,7,240
2016020301,6,6,580
2016020302,4,4,39
2016020303,7,7,117
2016020304,5,4,46
2016020305,18,18,313
2016020306,16,16,641
2016020307,61,60,2380
2016020308,138,132,6548
2016020309,105,100,4716
2016020310,93,83,4878
2016020311,85,83,3873
2016020312,80,73,4221
2016020313,73,68,4495
2016020314,76,67,4399
2016020315,93,90,5127
2016020316,90,85,4976
2016020317,94,93,5709
2016020318,76,62,3787
2016020319,50,45,2000
2016020320,41,38,1122
2016020321,29,29,1293
2016020322,21,18,997
2016020323,11,11,658
2016020400,12,12,608
2016020401,2,1,22
2016020402,4,4,129
2016020403,5,5,129
2016020404,10,9,76
2016020405,18,17,558
2016020406,29,28,1961
2016020407,58,56,2938
2016020408,105,91,5289
2016020409,114,102,4926
2016020410,80,76,5074
2016020411,65,60,3295
2016020412,68,63,3385
2016020413,54,49,3271
2016020414,55,54,1682
2016020415,56,55,3237
2016020416,56,55,3405
2016020417,35,30,1693
2016020418,27,26,1111
2016020419,19,19,352
2016020420,16,15,356
2016020421,18,17,611
2016020422,21,19,677
2016020423,10,10,133
2016020500,9,10,140
2016020501,1,1,11
2016020502,1,1,47
2016020503,6,6,218
2016020504,5,5,520
2016020505,9,9,95
2016020506,22,21,838
2016020507,41,35,1091
2016020508,58,56,2421
2016020509,72,67,4166
2016020510,60,56,2800
2016020511,47,45,1638
2016020512,52,44,1839
2016020513,51,49,1945
2016020514,56,50,1878
2016020515,62,57,2932
2016020516,45,45,2026
2016020517,37,35,1853
2016020518,16,13,1181
2016020519,18,17,370
2016020520,18,17,750
2016020521,19,19,810
2016020522,15,13,224
2016020523,9,7,649
2016020600,7,7,90
2016020601,4,4,68
2016020602,1,1,124
2016020603,2,2,79
2016020604,2,2,33
2016020605,5,5,132
2016020606,10,9,550
2016020607,18,18,503
2016020608,37,35,951
2016020609,46,43,2846
2016020610,38,35,2706
2016020611,35,34,1538
2016020612,38,35,1333
2016020613,32,27,1111
2016020614,30,27,1549
2016020615,17,17,513
2016020616,21,21,1336
2016020617,26,24,1427
2016020618,16,13,759
2016020619,16,13,610
2016020620,11,11,208
2016020621,19,21,293
2016020622,10,10,543
2016020623,9,9,156
2016020700,4,4,100
2016020701,5,5,128
2016020702,2,1,55
2016020703,1,0,95
2016020704,2,1,111
2016020705,2,2,54
2016020706,7,7,175
2016020707,19,19,382
2016020708,34,30,1169
2016020709,41,41,1955
2016020710,34,33,1583
2016020711,34,32,1361
2016020712,28,24,1078
2016020713,21,17,900
2016020714,13,15,572
2016020715,27,26,1335
2016020716,18,17,783
2016020717,17,16,452
2016020718,16,15,1219
2016020719,9,6,224
2016020720,16,15,396
2016020721,13,11,163
2016020722,16,16,369
2016020723,4,4,167
2016020800,4,4,68
2016020801,1,1,12
2016020802,1,1,203
2016020803,2,2,74
2016020804,4,4,11
2016020805,9,9,96
2016020806,10,10,194
2016020807,37,35,1091
2016020808,54,50,2420
2016020809,56,54,2711
2016020810,44,44,1642
2016020811,51,46,1841
2016020812,41,38,2261
2016020813,44,40,2194
2016020814,23,21,968
2016020815,47,46,1853
2016020816,38,34,1642
2016020817,38,38,1959
2016020818,26,22,1528
2016020819,13,11,683
2016020820,9,9,146
2016020821,6,5,181
2016020822,5,5,237
2016020823,5,5,179
2016020901,4,4,21
2016020904,2,2,7
2016020905,9,7,93
2016020906,7,7,357
2016020907,21,21,448
2016020908,47,47,1733
2016020909,50,45,2531
2016020910,54,51,1813
2016020911,46,45,1287
2016020912,34,34,1491
2016020913,46,44,1556
2016020914,37,32,1566
2016020915,33,28,1631
2016020916,34,33,1159
2016020917,21,21,1124
2016020918,17,15,726
2016020919,19,19,244
2016020920,12,12,831
2016020921,19,21,527
2016020922,7,7,135
2016020923,7,6,37
2016021000,11,11,164
2016021001,5,5,101
2016021002,4,4,10
2016021003,4,4,24
2016021004,9,7,68
2016021005,10,10,43
2016021006,18,17,278
2016021007,30,26,594
2016021008,49,45,1746
2016021009,32,29,1780
2016021010,38,35,2013
2016021011,30,28,1259
2016021012,30,28,1265
2016021013,28,28,952
2016021014,51,49,1292
2016021015,32,29,1414
2016021016,23,22,895
2016021017,33,32,1351
2016021018,29,29,1903
2016021019,19,18,1269
2016021020,13,13,413
2016021021,17,13,432
2016021022,11,12,346
2016021023,5,4,69
2016021100,4,4,106
2016021101,5,4,125
2016021102,1,1,4
2016021103,2,2,7
2016021104,2,2,6
2016021105,11,11,133
2016021106,11,10,393
2016021107,38,35,1264
2016021108,40,37,1885
2016021109,35,33,1757
2016021110,22,18,606
