Date,Sessions
20160730,203
20160731,225
20160801,274
20160802,282
20160803,321
20160804,265
20160805,278
20160806,170
20160807,158
20160808,276
20160809,276
20160810,275
20160811,277
20160812,237
20160813,178
20160814,200
20160815,272
20160816,349
20160817,412
20160818,405
20160819,299
20160820,164
20160821,192
20160822,354
20160823,439
20160824,425
20160825,306
20160826,297
20160827,181
20160828,176
20160829,277
20160830,329
20160831,327
20160901,242
20160902,343
20160903,232
20160904,284
20160905,588
20160906,309
20160907,268
20160908,257
20160909,219
20160910,130
20160911,170
20160912,272
20160913,424
20160914,276
20160915,264
20160916,208
20160917,160
20160918,170
20160919,280
20160920,241
20160921,305
20160922,386
20160923,272
20160924,229
20160925,152
20160926,247
20160927,241
20160928,231
20160929,232
20160930,247
20161001,175
20161002,636
20161003,711
20161004,365
20161005,304
20161006,294
20161007,251
20161008,152
20161009,147
20161010,298
20161011,275
20161012,278
20161013,485
20161014,1162
20161015,721
20161016,1078
20161017,979
20161018,466
20161019,392
20161020,352
20161021,301
20161022,200
20161023,235
20161024,530
20161025,137
20161026,421
20161027,772
20161028,734
20161029,366
20161030,1913
20161031,1026
20161101,896
20161102,467
20161103,385
20161104,339
20161105,232
20161106,250
20161107,333
20161108,301
20161109,282
20161110,258
20161111,228
20161112,200
20161113,200
20161114,345
20161115,567
20161116,1035
20161117,713
20161118,589
20161119,1714
20161120,1924
20161121,1197
20161122,1069
20161123,2119
20161124,708
20161125,724
20161126,2119
20161127,2586
20161128,1589
20161129,851
20161130,992
20161201,851
20161202,679
20161203,445
20161204,541
20161205,894
20161206,1371
20161207,2011
20161208,3047
20161209,2448
20161210,2227
20161211,1191
20161212,1383
20161213,1587
20161214,2415
20161215,3554
20161216,2756
20161217,1209
20161218,820
20161219,1477
20161220,1302
20161221,1274
20161222,1259
20161223,4431
20161224,2401
20161225,1179
20161226,1329
20161227,1558
20161228,1200
20161229,1026
20161230,1048
20161231,953
20170101,2187
20170102,5458
20170103,5606
20170104,6795
20170105,5194
20170106,3016
20170107,4897
